"","CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside.Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location.1","Premise","Total.Incidents"
"304","01/19/2017","19:35:00","3AF","","ROBBERY - STREET","O","FIREARM",211,"SOUTHEASTERN","",NA,NA,"","STREET",1
"305","08/30/2017","22:41:00","4C","6100 PARKWAY DR","AGG. ASSAULT","I","OTHER",522,"NORTHERN","Lake Walker",-76.60133,39.36914,"(39.3691400000, -76.6013300000)","APT/CONDO",1
"306","08/30/2017","22:30:00","6D","","LARCENY FROM AUTO","O","",612,"NORTHWESTERN","",NA,NA,"","ALLEY",1
"307","08/30/2017","22:00:00","3AK","FAYETTE ST & N WASHINGTON ST","ROBBERY - STREET","O","KNIFE",212,"SOUTHEASTERN","CARE",-76.58931,39.29412,"(39.2941200000, -76.5893100000)","STREET",1
"308","08/30/2017","22:00:00","8H","2600 FLORA ST","ARSON","","",733,"WESTERN","Penn North",-76.64282,39.31416,"(39.3141600000, -76.6428200000)","",1
"309","08/30/2017","22:00:00","4E","3700 SEQUOIA AVE","COMMON ASSAULT","I","HANDS",642,"NORTHWESTERN","Callaway-Garrison",-76.67706,39.33129,"(39.3312900000, -76.6770600000)","ROW/TOWNHO",1
"310","08/30/2017","21:47:00","1F","100 S HIGHLAND AV","HOMICIDE","Outside","FIREARM",222,"SOUTHEASTERN","Patterson Park Neighborho",-76.56937,39.29125,"(39.2912500000, -76.5693700000)","Street",1
"311","08/30/2017","21:55:00","6C","2000 N HOWARD ST","LARCENY","O","",514,"NORTHERN","Charles North",-76.61943,39.31255,"(39.3125500000, -76.6194300000)","GAS STATIO",1
"312","08/30/2017","21:50:00","4E","700 DRUID PARK LAKE DR","COMMON ASSAULT","O","HANDS",133,"NORTHERN","Reservoir Hill",-76.63162,39.31665,"(39.3166500000, -76.6316200000)","STREET",1
"313","08/30/2017","21:46:00","5A","600 SPRINGFIELD AVE","BURGLARY","I","",542,"NORTHERN","Pen Lucy",-76.60763,39.34055,"(39.3405500000, -76.6076300000)","ROW/TOWNHO",1
"314","08/30/2017","21:45:00","5D","2200 VAN DEMAN ST","BURGLARY","","",243,"SOUTHEASTERN","Holabird Industrial Park",-76.53557,39.26533,"(39.2653300000, -76.5355700000)","",1
"315","08/30/2017","21:40:00","3AK","N GAY ST","ROBBERY - STREET","","KNIFE",312,"EASTERN","Penn-Fallsway",-76.60633,39.29459,"(39.2945900000, -76.6063300000)","",1
"316","08/30/2017","21:30:00","5D","RD & HAVENWOOD RD","BURGLARY","O","",413,"NORTHEASTERN","Original Northwood",-76.59743,39.34121,"(39.3412100000, -76.5974300000)","STREET",1
"317","08/30/2017","21:30:00","4C","1600 S CATON AVE","AGG. ASSAULT","O","OTHER",832,"SOUTHWESTERN","Violetville",-76.66503,39.26024,"(39.2602400000, -76.6650300000)","STREET",1
"318","08/30/2017","21:30:00","5D","400 N EAST AVE","BURGLARY","","",224,"SOUTHEASTERN","Ellwood Park/Monument",-76.57213,39.29651,"(39.2965100000, -76.5721300000)","",1
"319","08/30/2017","21:11:39","2A","BALTIMORE ST & S FREDERICK ST","RAPE","I","OTHER",111,"CENTRAL","Downtown",-76.60813,39.28982,"(39.2898200000, -76.6081300000)","ROW/TOWNHO",1
"320","08/30/2017","21:10:00","3AO","2600 MARBOURNE AVE","ROBBERY - STREET","O","OTHER",923,"SOUTHERN","Lakeland",-76.64513,39.25284,"(39.2528400000, -76.6451300000)","STREET",1
"321","08/30/2017","21:07:00","5F","4900 EASTERN AV","BURGLARY","I","",242,"SOUTHEASTERN","Greektown",-76.55422,39.28706,"(39.2870600000, -76.5542200000)","OTHER - IN",1
"322","08/30/2017","21:00:00","7A","0 N STREEPER ST","AUTO THEFT","","",222,"SOUTHEASTERN","Patterson Park Neighborho",-76.5769,39.29275,"(39.2927500000, -76.5769000000)","",1
"323","08/30/2017","20:35:00","9S","800 RESERVOIR ST","SHOOTING","Outside","FIREARM",133,"CENTRAL","Reservoir Hill",-76.63203,39.3127,"(39.3127000000, -76.6320300000)","Street",1
"324","08/30/2017","20:30:00","5D","5700 REISTERSTOWN RD","BURGLARY","I","",631,"NORTHWESTERN","Reisterstown Station",-76.69286,39.34948,"(39.3494800000, -76.6928600000)","OTHER - IN",1
"325","08/30/2017","20:30:00","6D","200 N MILTON AVE","LARCENY FROM AUTO","","",221,"SOUTHEASTERN","Patterson Place",-76.58209,39.29489,"(39.2948900000, -76.5820900000)","",1
"326","08/30/2017","20:27:00","4A","0 S GREENE ST","AGG. ASSAULT","O","FIREARM",121,"CENTRAL","University Of Maryland",-76.62367,39.28829,"(39.2882900000, -76.6236700000)","STREET",1
"327","08/30/2017","20:15:00","5A","0 N BELNORD AVE","BURGLARY","","",222,"SOUTHEASTERN","Patterson Park Neighborho",-76.57829,39.29261,"(39.2926100000, -76.5782900000)","",1
"328","08/30/2017","20:10:00","4E","OLIVER ST & HARFORD AV","COMMON ASSAULT","O","HANDS",343,"EASTERN","Oliver",-76.60072,39.30723,"(39.3072300000, -76.6007200000)","STREET",1
"329","08/30/2017","20:00:00","5D","200 E LEXINGTON ST","BURGLARY","I","",111,"CENTRAL","Downtown",-76.61237,39.29122,"(39.2912200000, -76.6123700000)","RESTAURANT",1
"330","08/30/2017","20:00:00","4F","400 FONTHILL AVE","ASSAULT BY THREAT","I","",832,"SOUTHWESTERN","Gwynns Falls",-76.66349,39.27871,"(39.2787100000, -76.6634900000)","POLICE DEP",1
"331","08/30/2017","20:00:00","5A","4900 BRIARCLIFT RD","BURGLARY","I","",823,"SOUTHWESTERN","West Hills",-76.70585,39.29425,"(39.2942500000, -76.7058500000)","ROW/TOWNHO",1
"332","08/30/2017","19:39:00","1F","500 RICHWOOD AV","HOMICIDE","Outside","FIREARM",524,"NORTHERN","Richnor Springs",-76.60955,39.34705,"(39.3470500000, -76.6095500000)","Street",1
"333","08/30/2017","19:39:00","1F","500 RICHWOOD AV","HOMICIDE","Outside","FIREARM",524,"NORTHERN","Richnor Springs",-76.60955,39.34705,"(39.3470500000, -76.6095500000)","Street",1
"334","08/30/2017","19:46:00","4E","800 ABBOTT CT","COMMON ASSAULT","I","HANDS",312,"EASTERN","Oldtown",-76.60579,39.30118,"(39.3011800000, -76.6057900000)","ROW/TOWNHO",1
"335","08/30/2017","19:45:00","6D","200 E CENTRE ST","LARCENY FROM AUTO","O","",142,"CENTRAL","Mount Vernon",-76.61206,39.29651,"(39.2965100000, -76.6120600000)","PARKING LO",1
"336","08/30/2017","19:40:00","4C","2700 LIGHTHOUSE PT E","AGG. ASSAULT","","OTHER",232,"SOUTHEASTERN","Canton",-76.5777,39.27871,"(39.2787100000, -76.5777000000)","",1
"337","08/30/2017","19:30:00","8H","3700 CLIFTMONT","ARSON","O","",432,"NORTHEASTERN","Belair-Edison",-76.56327,39.31965,"(39.3196500000, -76.5632700000)","STREET",1
"338","08/30/2017","19:30:00","6E","4200 ELDERON AVE","LARCENY","O","",621,"NORTHWESTERN","West Arlington",-76.68971,39.34179,"(39.3417900000, -76.6897100000)","STREET",1
"339","08/30/2017","19:11:00","4E","1800 BAKER ST","COMMON ASSAULT","","HANDS",742,"WESTERN","Sandtown-Winchester",-76.6475,39.30664,"(39.3066400000, -76.6475000000)","",1
"340","08/30/2017","19:00:00","6D","1200 SOUTHVIEW RD","LARCENY FROM AUTO","O","",413,"NORTHEASTERN","Original Northwood",-76.59696,39.34084,"(39.3408400000, -76.5969600000)","STREET",1
"341","08/30/2017","19:00:00","5A","4100 FLOWERTON RD","BURGLARY","","",844,"SOUTHWESTERN","Edmondson Village",-76.68475,39.29848,"(39.2984800000, -76.6847500000)","",1
"342","08/30/2017","18:45:00","3D","100 N WOLFE ST","ROBBERY - COMMERCIAL","","",212,"SOUTHEASTERN","Washington Hill",-76.59051,39.29286,"(39.2928600000, -76.5905100000)","",1
"343","08/30/2017","18:45:00","3B","200 HERRING CT","ROBBERY - STREET","","",211,"SOUTHEASTERN","Perkins Homes",-76.59508,39.28812,"(39.2881200000, -76.5950800000)","",1
"344","08/30/2017","18:23:00","4E","4600 BELAIR RD","COMMON ASSAULT","O","HANDS",426,"NORTHEASTERN","Waltherson",-76.56132,39.33136,"(39.3313600000, -76.5613200000)","STREET",1
"345","08/30/2017","18:22:00","6C","2400 N CHARLES ST","LARCENY","I","",514,"NORTHERN","Old Goucher",-76.61687,39.31645,"(39.3164500000, -76.6168700000)","GROCERY/CO",1
"346","08/30/2017","17:59:00","6E","3800 LEADENHALL ST","LARCENY","O","",913,"SOUTHERN","Brooklyn",-76.61358,39.23682,"(39.2368200000, -76.6135800000)","STREET",1
"347","08/30/2017","17:55:00","6D","1400 WELDON PL N","LARCENY FROM AUTO","O","",541,"NORTHERN","Medfield",-76.64188,39.33729,"(39.3372900000, -76.6418800000)","STREET",1
"348","08/30/2017","17:20:00","6G","1600 LORMAN CT","LARCENY","O","",743,"WESTERN","Sandtown-Winchester",-76.64396,39.30419,"(39.3041900000, -76.6439600000)","STREET",1
"349","08/30/2017","17:00:00","4E","4500 CRADDOCK AVE","COMMON ASSAULT","O","HANDS",524,"NORTHERN","Kenilworth Park",-76.60166,39.34538,"(39.3453800000, -76.6016600000)","STREET",1
"350","08/30/2017","16:40:00","7A","AV & ELDORADO AV","AUTO THEFT","O","",622,"NORTHWESTERN","Howard Park",-76.6905,39.33172,"(39.3317200000, -76.6905000000)","OTHER - OU",1
"351","08/30/2017","16:30:00","6E","2000 PORTUGAL ST","LARCENY","O","",212,"SOUTHEASTERN","Upper Fells Point",-76.58855,39.28624,"(39.2862400000, -76.5885500000)","STREET",1
