"","LEA_NAME","SCH_NAME","isCHARTER","PK","KG","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","G13","LEVEL","magnetSchoolStatus","city","MEMBER","zip","PctFreeLunch","SCH_TYPE_TEXT","TOTFRL","Census_AttainDiplomHigher","Census_LangHomeNotEnglish","Census_Pop25older","Census_TotalHouseholds","LAT","LON","AttendRate","PctProfELA","raceWHITE","raceAMERIND","raceASIAN","raceBLACK","raceHI","numberHispanic","numberTR","LEAID","aun2","NCESSCH","ST_LEAID"
"135","Weatherly Area SD","Weatherly Area MS","No","-2","-2","-2","-2","-2","-2","-2","33","55","48","-2","-2","-2","-2","-2","2","No","Weatherly","136","18255","49.264705882352899","Regular School","67","3607","89","3937","2109",40.939033,-75.817805,"94.54","60.58","122","1","1","2","10","0","0","4225140","1211390041211","422514006838","121139004"
"136","Bristol Borough SD","Warren Snyder-John Birotti El Sch","No","0","105","91","109","105","117","102","2","2","-2","-2","-2","-2","-2","-2","1","No","Bristol","633","19007","75.98736176935229","Regular School","481","5841","1015","6484","3795",40.098883,-74.857277,"95.17","57.14","318","1","7","100","127","0","80","4204200","1220913031220","420420001013","122091303"
"137","Philadelphia City SD","Barton Clara Sch","No","-2","246","265","290","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Philadelphia","801","19120","100","Regular School","801","855213","325401","1035252","582594",40.020449,-75.119501,"91.42","36.12","10","1","32","194","470","0","94","4218990","1265150011265","421899003732","126515001"
"138","Philadelphia City SD","Disston Hamilton Sch","No","-2","96","99","102","94","103","101","93","89","89","-2","-2","-2","-2","-2","1","No","Philadelphia","866","19135","100","Regular School","866","855213","325401","1035252","582594",40.028229,-75.046855,"89.66","21.32","212","4","24","280","239","0","107","4218990","1265150011265","421899003763","126515001"
"139","Bethlehem Area SD","William Penn El Sch","No","-2","41","36","46","34","44","35","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Bethlehem","236","18018","76.694915254237287","Regular School","181","70992","23674","79240","44762",40.62806,-75.38108,"95.05","56.52","79","1","1","27","109","0","19","4203570","1204810021204","420357006634","120481002"
"140","Phoenixville Area SD","Schuylkill El Sch","No","-2","3","134","144","139","134","126","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Phoenixville","680","19460","18.382352941176471","Regular School","125","22002","2742","23194","13356",40.111694,-75.512278,"97.12","86.22","522","0","36","22","67","0","33","4219050","1241572031241","421905004841","124157203"
"141","Scranton SD","Frances Willard #32","No","66","78","85","80","68","90","76","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Scranton","543","18504","76.427255985266996","Regular School","415","42320","11668","49874","28984",41.40548,-75.68573,"94.74","58.06","318","0","6","39","131","4","45","4221090","1193574021193","422109002474","119357402"
"142","Council Rock SD","Richboro MS","No","-2","-2","-2","-2","-2","-2","-2","-2","234","246","-2","-2","-2","-2","-2","2","No","Richboro","480","18954","10.2083333333333","Regular School","49","49287","8984","50630","26086",40.208246,-75.006684,"96.19","69.95","428","0","22","12","18","0","0","4206960","1220923531220","420696006454","122092353"
"143","Schuylkill Valley SD","Schuylkill Valley MS","No","-2","-2","-2","-2","-2","-2","152","163","140","150","-2","-2","-2","-2","-2","2","No","Leesport","605","19533","30.743801652892561","Regular School","186","9538","1379","11123","5192",40.443983,-75.940427,"96.29","69.69","518","0","7","24","48","0","8","4220970","1140675031140","422097006888","114067503"
"144","Central York SD","Central York HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","517","468","384","439","-2","3","No","York","1808","17406","28.705752212389381","Regular School","519","23875","3545","26290","13211",40.014716,-76.700605,"94.30","84.31","1298","3","77","192","159","0","79","4205490","1126713031126","420549004545","112671303"
"145","Lancaster SD","Lincoln MS","No","-2","-2","-2","-2","-2","-2","-2","183","184","154","4","-2","2","-2","-2","4","No","Lancaster","527","17602","100","Regular School","527","37681","23964","48158","27775",40.0475,-76.285424,"93.26","36.24","46","1","37","108","314","0","21","4213140","1133640021133","421314002595","113364002"
"146","Crispus Attucks Youthbuild CS","Crispus Attucks Youthbuild CS","Yes","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","0","0","101","-2","3","No","York","101","17401","100","Regular School","101",NA,NA,NA,NA,39.954857,-76.721548,NA,NA,"7","0","0","44","45","0","5","4200048","1126733001126","420004800453","112673300"
"147","Colonial SD","Colonial El Sch","No","-2","-2","-2","-2","-2","338","348","-2","-2","-2","-2","-2","-2","-2","-2","2","No","Plymouth Meeting","686","19462","24.635568513119534","Regular School","169","29837","3582","31439","17414",40.102059,-75.266148,NA,NA,"528","2","44","50","36","0","26","4219470","1234616021234","421947007176","123461602"
"148","Pennridge SD","Pennridge HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","595","590","610","555","-2","3","No","Perkasie","2350","18944","18.978723404255302","Regular School","446","32011","3206","34300","18506",40.383375,-75.276837,"94.17","83.54","2130","2","70","56","67","7","18","4218750","1220981031220","421875001100","122098103"
"149","Blue Ridge SD","Blue Ridge MS","No","-2","-2","-2","-2","-2","-2","-2","68","86","70","-2","-2","-2","-2","-2","2","No","New Milford","224","18834","47.767857142857103","Regular School","107","4852","244","5541","3249",41.873446,-75.725138,"NA","NA","209","0","0","4","10","0","1","4203900","1195810031195","420390000101","119581003"
"150","Danville Area SD","Danville Area MS","No","-2","-2","-2","-2","-2","-2","-2","194","204","196","-2","-2","-2","-2","-2","2","No","Danville","594","17821","33.838383838383841","Regular School","201","12553","980","13841","7775",40.964159,-76.620015,"96.35","70.09","528","0","20","14","18","0","14","4207320","1164718031164","420732003424","116471803"
"151","Scranton SD","Scranton HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","469","464","457","409","-2","3","No","Scranton","1799","18510","75.4863813229572","Regular School","1358","42320","11668","49874","28984",41.413691,-75.654336,"89.26","60.36","890","4","155","255","433","30","32","4221090","1193574021193","422109006413","119357402"
"152","Abington SD","Roslyn Sch","No","-2","72","81","70","63","66","68","56","-2","-2","-2","-2","-2","-2","-2","1","No","Roslyn","476","19001","26.050420168067227","Regular School","124","39062","6333","41165","22024",40.12572,-75.13239,"96.57","77.15","301","0","8","85","59","0","23","4202040","1234603021234","420204003234","123460302"
"153","Susquenita SD","Susquenita El Sch","No","-2","148","137","152","149","163","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Duncannon","749","17020","43.925233644859816","Regular School","329","9759","547","10747","5957",40.354837,-77.000448,"95.37","56.10","682","2","1","2","29","2","31","4223040","1155060031155","422304006608","115506003"
"154","Boyertown Area SD","New Hanover-Upper Frederick El","No","-2","98","116","126","103","123","112","104","-2","-2","-2","-2","-2","-2","-2","1","No","Frederick","782","19435","12.148337595907901","Regular School","95","31489","1225","34328","18524",40.314145,-75.541676,"NA","NA","713","0","12","20","22","0","15","4203960","1140607531140","420396000755","114060753"
"155","North Pocono SD","Jefferson El Sch","No","-2","67","60","77","84","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Lake Ariel","288","18436","25.694444444444443","Regular School","74","13907","806","15083","7957",41.41614,-75.50281,NA,NA,"277","0","0","1","8","0","2","4217310","1193565031193","421731002444","119356503"
"156","Upper Dauphin Area SD","Upper Dauphin Area El Sch","No","-2","86","84","87","84","83","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Lykens","424","17048","49.29245283018868","Regular School","209","5098","1177","6336","3546",40.566708,-76.756346,NA,NA,"389","0","3","4","22","0","6","4224360","1152290031152","422436009967","115229003"
"157","Brandywine Heights Area SD","Brandywine Heights MS","No","-2","-2","-2","-2","-2","-2","-2","111","93","119","-2","-2","-2","-2","-2","2","No","Topton","323","19562","30.340557275541794","Regular School","98","8588","475","9852","5234",40.497108,-75.702696,NA,NA,"307","1","3","2","9","0","1","4204050","1140608531140","420405006309","114060853"
"158","Northeast Bradford SD","Northeast Bradford JSHS","No","-2","-2","-2","-2","-2","-2","-2","-2","65","70","70","74","85","49","-2","3","No","Rome","413","18837","34.866828087167072","Regular School","144","3238","130","3609","1949",41.86237,-76.237661,NA,NA,"401","0","2","2","4","0","4","4217460","1170830041170","421746000964","117083004"
"159","Central Dauphin SD","South Side El Sch","No","-2","95","113","115","106","101","113","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Harrisburg","643","17111","71.228615863141528","Regular School","458","61115","9050","66113","37434",40.278608,-76.80624,"95.29","55.74","138","3","39","241","127","0","95","4205400","1152214021152","420540001780","115221402"
"160","Pennsbury SD","Makefield El Sch","No","-2","67","72","61","74","70","94","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Yardley","438","19067","13.242009132420092","Regular School","58","47722","6631","49998","26639",40.222831,-74.820847,"96.15","81.25","326","0","12","49","16","0","35","4218840","1220982021220","421884001109","122098202"
"161","Northwestern Lehigh SD","Northwestern Lehigh HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","196","191","173","187","-2","3","No","New Tripoli","747","18066","16.331994645247601","Regular School","122","9981","709","10768","5536",40.68109,-75.724296,"96.14","83.94","687","2","12","8","35","1","2","4217850","1213946031213","421785002821","121394603"
"162","Upper Darby SD","Upper Darby Kdg Ctr","No","-2","582","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Drexel Hill","582","19026","46.907216494845301","Regular School","273","53746","19066","60179","33189",39.954518,-75.298805,"NA","NA","114","0","111","254","71","0","32","4224320","1252394521252","422432000317","125239452"
"163","Neshaminy SD","Schweitzer El Sch","No","-2","80","94","82","88","96","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Levittown","440","19056","25","Regular School","110","47567","7513","50548","25284",40.164441,-74.886237,"95.71","74.209999999999994","328","0","20","29","29","1","33","4216410","1220975021220","421641001072","122097502"
"164","Carbon Career & Technical Institute","Carbon Career & Technical Institute","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","47","97","97","93","-2","3","No","Jim Thorpe","334","18229","42.215568862275397","Vocational Education School","141","NA","NA","NA","NA",40.885342,-75.727968,"NA","NA","304","0","0","6","19","0","5","4280130","1211315071211","428013007054","121131507"
"165","Easton Area SD","Tracy El Sch","No","-2","55","56","63","58","85","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Easton","317","18045","23.028391167192428","Regular School","73","39282","9828","43741","23548",40.714357,-75.251405,"96.26","67.77","201","0","28","36","46","0","6","4208850","1204833021204","420885005064","120483302"
"166","East Stroudsburg Area SD","J M Hill El Sch","No","-2","71","70","84","65","66","65","-2","-2","-2","-2","-2","-2","-2","-2","1","No","East Stroudsburg","421","18301","67.220902612826606","Regular School","283","27149","8682","30613","16025",41.004129,-75.177764,"95.13","61.47","172","0","13","91","121","1","23","4208670","1204520031204","420867003204","120452003"
"167","East Stroudsburg Area SD","Resica El Sch","No","-2","77","79","77","95","86","85","-2","-2","-2","-2","-2","-2","-2","-2","1","No","East Stroudsburg","499","18302","42.284569138276552","Regular School","211","27149","8682","30613","16025",41.075133,-75.109721,NA,NA,"311","2","14","68","89","1","14","4208670","1204520031204","420867000130","120452003"
"168","Cumberland Valley SD","Shaull El Sch","No","-2","73","109","96","118","101","117","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Enola","614","17025","14.169381107491857","Regular School","87","39567","5504","41825","22959",40.284927,-76.985412,"96.58","85.27","482","0","74","11","14","1","32","4207110","1152116031152","420711001696","115211603"
"169","Lehighton Area SD","Lehighton Area MS","No","-2","-2","-2","-2","-2","-2","218","186","194","185","-2","-2","-2","-2","-2","2","No","Lehighton","783","18235","50.957854406130267","Regular School","399","11345","473","12975","7081",40.8335,-75.72428,"95.26","57.85","719","2","7","13","30","2","10","4213500","1211355031211","421350001314","121135503"
"170","Boyertown Area SD","Colebrookdale El Sch","No","-2","39","48","45","43","50","55","46","-2","-2","-2","-2","-2","-2","-2","1","No","Boyertown","326","19512","38.957055214723901","Regular School","127","31489","1225","34328","18524",40.338782,-75.627189,"NA","NA","296","0","3","8","9","0","10","4203960","1140607531140","420396000762","114060753"
"171","Hanover Area SD","Hanover Area JSHS","No","-2","-2","-2","-2","-2","-2","-2","-2","172","150","144","148","132","155","-2","3","No","Hanover Township","901","18706","100","Regular School","901","9900","517","10862","6544",41.214082,-75.949562,"90.91","54.80","708","0","10","89","93","0","1","4211420","1184030031184","421142002891","118403003"
"172","Lower Merion SD","Bala-Cynwyd MS","No","-2","-2","-2","-2","-2","-2","-2","289","280","298","-2","-2","-2","-2","-2","2","No","Bala Cynwyd","867","19004","8.7658592848904195","Regular School","76","41799","9191","42890","24401",40.013913,-75.242985,"96.52","88.76","622","0","105","72","35","1","32","4214160","1234645021234","421416003293","123464502"
"173","Loyalsock Township SD","Loyalsock Twp MS","No","-2","-2","-2","-2","-2","-2","-2","122","128","117","-2","-2","-2","-2","-2","2","No","Williamsport","367","17701","35.422343324250683","Regular School","130","7696","481","8504","4820",41.26017,-76.96437,"94.89","68.26","296","0","14","29","7","0","21","4214310","1174142031174","421431003037","117414203"
"174","Philadelphia City SD","Franklin LC","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","265","243","210","150","-2","3","Yes","Philadelphia","868","19130","100","Regular School","868","855213","325401","1035252","582594",39.965136,-75.163113,"90.69","59.68","104","0","100","441","199","0","24","4218990","1265150011265","421899006822","126515001"
"175","Philadelphia City SD","John Story Jenks Academy for the Arts an","No","-2","50","54","52","51","50","55","43","43","48","-2","-2","-2","-2","-2","1","Yes","Philadelphia","446","19118","100","Regular School","446","855213","325401","1035252","582594",40.07495,-75.203259,"95.31","45.92","43","0","4","342","15","0","42","4218990","1265150011265","421899003714","126515001"
"176","Philadelphia City SD","Kearny Gen Philip Sch","No","-2","49","55","53","61","54","45","51","46","30","-2","-2","-2","-2","-2","1","No","Philadelphia","444","19123","100","Regular School","444","855213","325401","1035252","582594",39.963948,-75.148137,"92.03","18.55","27","0","2","356","28","0","31","4218990","1265150011265","421899003645","126515001"
"177","Upper Darby SD","Garrettford El Sch","No","-2","-2","106","121","122","146","113","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Drexel Hill","608","19026","51.973684210526315","Regular School","316","53746","19066","60179","33189",39.943247,-75.297383,"95.46","52.88","323","1","46","186","32","1","19","4224320","1252394521252","422432001964","125239452"
"178","Youth Build Phila CS","Youth Build Phila CS","Yes","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","256","-2","3","No","Philadelphia","256","19122","0","Regular School","0","NA","NA","NA","NA",39.9729,-75.158631,"NA","NA","4","0","0","222","17","0","13","4200016","1265128701265","420001600324","126512870"
"179","Ridley SD","Woodlyn El Sch","No","-2","53","52","50","51","47","45","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Woodlyn","298","19094","69.1275167785234","Regular School","206","26328","3136","28613","15523",39.877053,-75.342373,"95.66","61.04","148","0","10","84","28","0","28","4220370","1252377021252","422037001932","125237702"
"180","Pennridge SD","Patricia A Guth El Sch","No","-2","87","74","70","87","75","79","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Perkasie","472","18944","31.991525423728799","Regular School","151","32011","3206","34300","18506",40.379079,-75.287955,"96.2","68.400000000000006","370","2","10","7","68","0","15","4218750","1220981031220","421875001097","122098103"
"181","Mastery CS - Francis D. Pastorius Elementary","Mastery CS - Francis D. Pastorius Elemen","Yes","-2","73","86","73","61","63","53","82","55","43","-2","-2","-2","-2","-2","1","No","Philadelphia","589","19144","99.490662139219012","Regular School","586",NA,NA,NA,NA,40.048053,-75.160907,NA,NA,"1","2","0","540","31","0","15","4200874","1265187951265","420087407515","126518795"
"182","Ephrata Area SD","Highland El Sch","No","-2","86","92","99","99","72","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Ephrata","448","17522","48.214285714285715","Regular School","216","19351","3408","23366","13236",40.182307,-76.178358,"96.30","71.35","362","1","10","5","55","0","15","4209270","1133626031133","420927002570","113362603"
"183","Norristown Area SD","Marshall Street El Sch","No","-2","115","138","147","142","149","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Norristown","691","19403","84.659913169319793","Regular School","585","40354","11945","46387","25634",40.128583,-75.362806,"95.59","44","111","0","18","210","269","0","83","4216980","1234656021234","421698003408","123465602"
"184","Gillingham Charter School","Gillingham Charter School","Yes","-2","18","18","21","20","19","18","20","20","17","16","20","16","16","-2","4","No","Pottsville","239","17901","64.01673640167364","Regular School","153",NA,NA,NA,NA,40.680833,-76.20027,NA,NA,"171","0","2","6","33","1","26","4200841","1295449071295","420084107420","129544907"
"185","Independence CS","Independence CS","Yes","-2","93","94","98","96","96","82","80","89","84","-2","-2","-2","-2","-2","1","No","Philadelphia","812","19146","50.492610837438427","Regular School","410",NA,NA,NA,NA,39.945068,-75.168679,NA,NA,"209","0","40","335","150","0","78","4200087","1265135101265","420008700584","126513510"
"186","Haverford Township SD","Haverford MS","No","-2","-2","-2","-2","-2","-2","-2","444","466","443","-2","-2","-2","-2","-2","2","No","Havertown","1353","19083","13.229859571322987","Regular School","179","31744","3930","32804","17450",39.983466,-75.305517,"95.74","86.62","1143","1","74","68","25","1","41","4211670","1252345021252","421167001878","125234502"
"187","Philadelphia City SD","Finletter Thomas K Sch","No","0","94","97","102","94","106","90","75","77","72","-2","-2","-2","-2","-2","1","No","Philadelphia","807","19120","100","Regular School","807","855213","325401","1035252","582594",40.04389,-75.118959,"92.94","36.36","12","2","87","555","93","1","57","4218990","1265150011265","421899003739","126515001"
"188","Shikellamy SD","Chief Shikellamy Sch","No","-2","62","58","53","46","48","53","44","-2","-2","-2","-2","-2","-2","-2","1","No","Sunbury","364","17801","83.516483516483518","Regular School","304","13977","621","16295","9595",40.874978,-76.778434,NA,NA,"254","0","0","21","65","0","24","4221540","1164966031164","422154000683","116496603"
"189","West Chester Area SD","East Bradford El Sch","No","-2","42","81","77","79","74","51","-2","-2","-2","-2","-2","-2","-2","-2","1","No","West Chester","404","19380","15.841584158415841","Regular School","64","69341","10378","72305","41059",39.969274,-75.641135,"96.92","82.97","335","0","13","11","41","1","3","4225290","1241590021241","422529001392","124159002"
"190","Souderton Area SD","Indian Valley MS","No","-2","-2","-2","-2","-2","-2","-2","233","267","248","-2","-2","-2","-2","-2","2","No","Harleysville","748","19438","12.834224598930481","Regular School","96","29640","4575","32059","16928",40.28527,-75.379197,"93.62","76.83","640","3","38","24","33","2","8","4221870","1234671031234","422187004722","123467103"
"191","Olney Charter High School","Olney Charter High School","Yes","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","451","464","403","407","-2","3","No","Philadelphia","1725","19140","100","Regular School","1725","NA","NA","NA","NA",40.02843,-75.121531,"NA","NA","20","0","68","558","1070","0","9","4200843","1265134521265","420084307386","126513452"
"192","Pennsbury SD","Penn Valley El Sch","No","-2","72","58","65","61","61","54","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Levittown","371","19054","40.970350404312669","Regular School","152","47722","6631","49998","26639",40.162549,-74.818998,"95.09","67.96","291","0","6","15","23","0","36","4218840","1220982021220","421884001101","122098202"
"193","Bangor Area SD","Bangor Area HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","258","241","255","260","-2","3","No","Bangor","1014","18013","37.080867850098599","Regular School","376","14496","1149","16318","8446",40.884859,-75.1506,"93.76","77.290000000000006","915","0","14","26","52","0","7","4203000","1204808031204","420300003434","120480803"
"194","Colonial SD","Plymouth El Sch","No","-2","118","137","145","133","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Plymouth Meeting","533","19462","28.5178236397748","Regular School","152","29837","3582","31439","17414",40.115741,-75.295315,"96.81","83.1","357","0","64","54","26","2","30","4219470","1234616021234","421947004711","123461602"
"195","Philadelphia City SD","Loesche William H Sch","No","0","125","115","143","132","121","142","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Philadelphia","778","19116","100","Regular School","778","855213","325401","1035252","582594",40.113104,-75.023163,"93.89","65.03","427","2","140","65","49","3","92","4218990","1265150011265","421899004961","126515001"
"196","Abington SD","Rydal East Sch","No","-2","77","83","88","92","71","81","92","-2","-2","-2","-2","-2","-2","-2","1","No","Huntingdon Valley","584","19006","10.445205479452","Regular School","61","39062","6333","41165","22024",40.099341,-75.09106,"96.55","87.69","434","0","59","34","37","0","20","4202040","1234603021234","420204003226","123460302"
"197","Bethlehem Area SD","Governor Wolf El Sch","No","-2","65","75","65","69","72","61","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Bethlehem","407","18017","52.3341523341523","Regular School","213","70992","23674","79240","44762",40.652266,-75.342732,"96.11","59.73","224","1","17","42","118","0","5","4203570","1204810021204","420357003449","120481002"
"198","Perkiomen Valley SD","Perkiomen Valley MS-West","No","-2","-2","-2","-2","-2","-2","-2","202","187","197","-2","-2","-2","-2","-2","2","No","Zieglerville","586","19492","16.89419795221843","Regular School","99","24408","3396","26132","12508",40.278368,-75.490954,NA,NA,"518","1","16","25","23","2","1","4218930","1234661031234","421893000796","123466103"
"199","Springfield SD","Sabold El Sch","No","-2","-2","-2","147","159","162","175","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Springfield","643","19064","18.195956454121305","Regular School","117","18055","2383","18971","9468",39.916866,-75.3398,"96.53","86.57","516","1","45","46","15","2","18","4222600","1252385021252","422260006518","125238502"
"200","Saucon Valley SD","Saucon Valley El Sch","No","-2","121","132","145","143","173","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Hellertown","714","18055","31.372549019607799","Regular School","224","11137","1108","11995","6558",40.572157,-75.327651,"95.76","70.42","609","0","16","11","47","0","31","4211730","1204860031204","421173003485","120486003"
"201","Newport SD","Newport El Sch","No","-2","65","86","77","83","86","80","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Newport","477","17074","56.813417190775681","Regular School","271","4610","118","5091","2919",40.478989,-77.133512,"95.53","65.02","443","4","0","1","9","0","20","4216890","1155040031155","421689005260","115504003"
"202","Centennial SD","Willow Dale El Sch","No","0","128","128","111","149","163","142","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Warminster","821","18974","43.361753958587087","Regular School","356","32936","6562","36129","18927",40.213623,-75.104708,NA,NA,"574","0","23","36","146","2","40","4205190","1220920021220","420519007388","122092002"
"203","Philadelphia City SD","Philadelphia Military Acad at Elverson","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","97","80","75","61","-2","3","Yes","Philadelphia","313","19122","100","Regular School","313","855213","325401","1035252","582594",39.985726,-75.154421,NA,NA,"19","0","10","191","89","0","4","4218990","1265150011265","421899000899","126515001"
"204","Philadelphia City SD","Wagner Gen Louis MS","No","-2","-2","-2","-2","-2","-2","-2","158","177","145","-2","-2","-2","-2","-2","2","No","Philadelphia","480","19126","100","Regular School","480","855213","325401","1035252","582594",40.051755,-75.147662,"87.02","14.35","6","0","1","452","10","0","11","4218990","1265150011265","421899003835","126515001"
"205","Montoursville Area SD","Loyalsock Valley El Sch","No","-2","54","44","40","51","52","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Montoursville","241","17754","30.70539419087137","Regular School","74","9017","289","9807","5427",41.316026,-76.907747,"95.80","71.74","226","1","3","1","3","0","7","4215750","1174151031174","421575003044","117415103"
"206","Valley View SD","Valley View Intrmd Sch","No","-2","-2","-2","-2","195","199","188","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Archbald","582","18403","34.020618556701002","Regular School","198","12094","1230","13125","7406",41.496985,-75.561951,"NA","NA","520","0","9","19","31","0","3","4224650","1193584031193","422465000298","119358403"
"207","ACT Academy Cyber CS","ACT Academy Cyber CS","Yes","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","12","20","27","30","-2","3","No","Philadelphia","89","19138","-1.1235955056179776","Regular School","-1",NA,NA,NA,NA,40.05634,-75.156231,NA,NA,"8","0","0","75","2","0","4","4200868","1265143681265","420086807433","126514368"
"208","Lebanon SD","Southeast El Sch","No","59","77","77","65","68","63","60","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Lebanon","469","17042","100","Regular School","469","12839","7286","16745","10150",40.33634,-76.403821,"97.54","49.41","169","2","2","21","261","0","14","4213440","1133846031133","421344002746","113384603"
"209","Scranton SD","Robert Morris #27","No","28","44","48","43","65","41","45","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Scranton","314","18509","58.598726114649679","Regular School","184","42320","11668","49874","28984",41.432812,-75.64693,"93.41","56.12","227","0","2","22","37","0","26","4221090","1193574021193","422109004952","119357402"
"210","Antietam SD","Antietam MS/HS","No","-2","-2","-2","-2","-2","-2","-2","-2","55","72","75","91","64","60","-2","3","No","Reading","417","19606","41.966426858513188","Regular School","175","4401","753","5020","2930",40.347942,-75.867382,NA,NA,"280","1","2","26","87","1","20","4202480","1140605031140","420248000820","114060503"
"211","Lake-Lehman SD","Lake-Lehman JSHS","No","-2","-2","-2","-2","-2","-2","-2","-2","159","163","157","127","171","146","-2","3","No","Lehman","923","18627","25.677139761646803","Regular School","237","11745","931","13065","5780",41.310845,-76.022114,"93.87","65.69","893","5","5","5","13","1","1","4213020","1184039031184","421302002924","118403903"
"212","Williamsport Area SD","Williamsport Area SHS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","364","416","378","313","-2","3","No","Williamsport","1471","17701","51.665533650577835","Regular School","760","23615","1645","26930","16061",41.242071,-77.075606,"90.04","84.62","1010","1","11","218","65","2","164","4226460","1174172021174","422646006368","117417202"
"213","Eastern Lebanon County SD","Jackson El Sch","No","-2","78","84","87","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Myerstown","249","17067","20.883534136546185","Regular School","52","11485","1232","14240","7818",40.36852,-76.330351,"95.88","63.89","223","0","1","6","15","0","4","4208460","1133823031133","420846002735","113382303"
"214","Philadelphia City SD","Parkway-Center City","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","144","115","169","126","-2","3","Yes","Philadelphia","554","19123","100","Regular School","554","855213","325401","1035252","582594",39.962919,-75.159519,"NA","NA","9","1","41","442","45","0","16","4218990","1265150011265","421899000771","126515001"
"215","Jim Thorpe Area SD","Penn-Kidder Campus","No","0","62","63","77","67","67","78","72","78","72","-2","-2","-2","-2","-2","1","No","Albrightsville","636","18210","58.490566037735803","Regular School","372","10278","847","11043","5983",41.016624,-75.591351,"NA","NA","456","2","5","70","83","2","18","4212540","1211350031211","421254000776","121135003"
"216","Berwick Area SD","Nescopeck El Sch","No","-2","34","33","38","39","44","40","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Nescopeck","228","18635","48.684210526315788","Regular School","111","13923","966","16199","9341",41.05095,-76.21486,"95.21","79.73","217","0","1","0","5","0","5","4203480","1161911031161","420348006349","116191103"
"217","Tamaqua Area SD","West Penn Twp El Sch","No","-2","34","45","48","47","55","46","-2","-2","-2","-2","-2","-2","-2","-2","1","No","New Ringgold","275","17960","30.181818181818183","Regular School","83","10503","508","11892","6757",40.749087,-75.870705,"95.94","67.36","254","0","2","1","14","0","4","4223220","1295476031295","422322003948","129547603"
"218","Methacton SD","Methacton HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","402","409","408","409","-2","3","No","Eagleville","1628","19403","14.3120393120393","Regular School","233","23643","6024","24887","12277",40.175576,-75.397783,"95.88","84.46","1238","0","241","56","37","1","55","4214250","1234653031234","421425003305","123465303"
"219","Pennsbury SD","William Penn MS","No","-2","-2","-2","-2","-2","-2","-2","348","321","354","-2","-2","-2","-2","-2","2","No","Yardley","1023","19067","21.1143695014662","Regular School","216","47722","6631","49998","26639",40.211478,-74.829768,"94.94","79.38","808","3","90","58","34","0","30","4218840","1220982021220","421884001113","122098202"
