"","LEA_NAME","SCH_NAME","isCHARTER","PK","KG","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","G13","LEVEL","magnetSchoolStatus","city","MEMBER","zip","PctFreeLunch","SCH_TYPE_TEXT","TOTFRL","Census_AttainDiplomHigher","Census_LangHomeNotEnglish","Census_Pop25older","Census_TotalHouseholds","LAT","LON","AttendRate","PctProfELA","raceWHITE","raceAMERIND","raceASIAN","raceBLACK","raceHI","numberHispanic","numberTR","LEAID","aun2","NCESSCH","ST_LEAID"
"623","Philadelphia City SD","Welsh John Sch","No","-2","38","57","64","55","44","49","50","47","48","-2","-2","-2","-2","-2","1","No","Philadelphia","452","19133","100","Regular School","452","855213","325401","1035252","582594",39.986713,-75.139303,"92.17","21.26","2","1","4","135","278","0","32","4218990","1265150011265","421899003703","126515001"
"624","Abington Heights SD","Abington Heights HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","271","268","265","240","-2","3","No","Clarks Summit","1044","18411","15.9961685823754","Regular School","167","15751","1284","16357","9135",41.493362,-75.723521,"94.96","93.41","952","0","50","20","16","0","6","4202010","1193503031193","420201005091","119350303"
"625","Delaware County Technical High School","Delaware County Technical High School-Ma","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","No","Broomall","0","19008","?","Vocational Education School","0","NA","NA","NA","NA",39.979229,-75.368244,"NA","NA","0","0","0","0","0","0","0","4280200","1252324071252","428020007063","125232407"
"626","Coatesville Area SD","Reeceville El Sch","No","-2","83","73","81","78","83","89","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Coatesville","487","19320","69.609856262833674","Regular School","339","39101","6662","43528","23329",40.008532,-75.793886,NA,NA,"192","0","2","158","118","0","17","4206240","1241519021241","420624010009","124151902"
"627","Lackawanna Trail SD","Lackawanna Trail JSHS","No","-2","-2","-2","-2","-2","-2","-2","-2","79","87","67","88","89","69","-2","3","No","Factoryville","479","18419","40.083507306889352","Regular School","192","5574","237","5925","3285",41.588382,-75.810612,"93.11","65.71","454","3","0","5","10","1","6","4212990","1196650031196","421299004528","119665003"
"628","Derry Township SD","Hershey Intrmd El Sch","No","-2","-2","-2","-2","-2","250","268","1","-2","-2","-2","-2","-2","-2","-2","2","No","Hershey","519","17033","25.048169556840076","Regular School","130","16812","3648","17533","9786",40.281428,-76.643099,NA,NA,"375","3","65","19","31","0","26","4207590","1152217531152","420759007266","115221753"
"629","Downingtown Area SD","Lionville El Sch","No","-2","77","101","95","122","119","96","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Downingtown","610","19335","14.918032786885201","Regular School","91","46615","7494","48151","25390",40.041506,-75.663776,"95.28","86.09","462","0","40","18","52","0","38","4207710","1241520031241","420771006476","124152003"
"630","Council Rock SD","Newtown MS","No","-2","-2","-2","-2","-2","-2","-2","-2","400","385","-2","-2","-2","-2","-2","2","No","Newtown","785","18940","7.515923566878981","Regular School","59","49287","8984","50630","26086",40.227172,-74.949824,"96.31","78.04","659","0","94","14","18","0","0","4206960","1220923531220","420696006453","122092353"
"631","Cumberland Valley SD","Hampden El Sch","No","-2","108","123","129","131","126","146","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Mechanicsburg","763","17050","10.222804718217562","Regular School","78","39567","5504","41825","22959",40.25195,-76.98047,"96.70","82.86","491","3","188","22","17","0","42","4207110","1152116031152","420711005020","115211603"
"632","Upper Perkiomen SD","Hereford El Sch","No","-2","128","147","165","155","138","137","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Hereford","870","18056","31.379310344827498","Regular School","273","14652","558","15874","8588",40.4389,-75.548882,"NA","NA","775","6","20","18","44","1","6","4224540","1234686031234","422454007246","123468603"
"633","Chester County Technical College High School","Chester Cty Tech Col HS Pennocks Campus","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","No","West Grove","0","19390","?","Vocational Education School","0",NA,NA,NA,NA,39.80111,-75.876981,NA,NA,"0","0","0","0","0","0","0","4202900","1241516071241","420290006770","124151607"
"634","Lower Merion SD","Merion El Sch","No","-2","77","105","98","108","118","108","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Merion Station","614","19066","7.9804560260586319","Regular School","49","41799","9191","42890","24401",40.001278,-75.256323,"96.64","92.91","426","0","96","22","28","1","41","4214160","1234645021234","421416003287","123464502"
"635","West Chester Area SD","Fern Hill El Sch","No","-2","78","73","102","96","87","74","-2","-2","-2","-2","-2","-2","-2","-2","1","No","West Chester","510","19380","19.019607843137255","Regular School","97","69341","10378","72305","41059",39.975637,-75.588525,"96.98","87.55","389","1","27","26","60","0","7","4225290","1241590021241","422529001454","124159002"
"636","Ridley SD","Ridley HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","477","466","450","416","-2","3","No","Folsom","1809","19033","37.5345494748479","Regular School","679","26328","3136","28613","15523",39.891562,-75.335213,"95.86","76.760000000000005","1514","4","36","198","50","1","6","4220370","1252377021252","422037001934","125237702"
"637","Philadelphia City SD","Conwell Russell MS","No","-2","-2","-2","-2","-2","-2","124","127","113","125","-2","-2","-2","-2","-2","2","Yes","Philadelphia","489","19134","100","Regular School","489","855213","325401","1035252","582594",39.994276,-75.114732,"93.35","61.52","43","1","23","205","195","0","22","4218990","1265150011265","421899006525","126515001"
"638","Stroudsburg Area SD","Stroudsburg HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","406","419","454","-2","3","No","Stroudsburg","1279","18360","32.9945269741985","Regular School","422","20357","5462","22891","11713",40.984278,-75.204324,"92.81","81.58","744","0","40","256","213","1","25","4222860","1204560031204","422286003224","120456003"
"639","Philadelphia City SD","Morton Thomas G Sch","No","-2","117","127","128","107","131","87","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Philadelphia","697","19142","100","Regular School","697","855213","325401","1035252","582594",39.923968,-75.227061,"92.68","24.9","16","0","36","588","18","0","39","4218990","1265150011265","421899006535","126515001"
"640","Northern York County SD","Northern MS","No","-2","-2","-2","-2","-2","-2","-2","237","257","230","-2","-2","-2","-2","-2","2","No","Dillsburg","724","17019","25.414364640883978","Regular School","184","14215","644","15707","8427",40.095417,-77.026306,"95.89","69.82","691","0","10","6","9","0","8","4217760","1156746031156","421776006346","115674603"
"641","South Williamsport Area SD","Rommelt El Sch","No","-2","-2","-2","-2","-2","-2","90","138","-2","-2","-2","-2","-2","-2","-2","2","No","South Williamsport","228","17702","38.157894736842103","Regular School","87","5882","182","6374","4012",41.228913,-76.999193,NA,NA,"210","0","4","9","4","0","1","4222140","1174161031174","422214000652","117416103"
"642","Philadelphia City SD","Lingelbach Anna L Sch","No","-2","50","47","53","48","46","35","52","43","47","-2","-2","-2","-2","-2","1","No","Philadelphia","421","19144","100","Regular School","421","855213","325401","1035252","582594",40.037434,-75.189792,"94.18","30.11","9","0","4","359","26","0","23","4218990","1265150011265","421899003717","126515001"
"643","Allentown City SD","Francis D Raub MS","No","-2","-2","-2","-2","-2","-2","-2","313","271","280","-2","-2","-2","-2","-2","2","No","Allentown","864","18104","71.064814814814795","Regular School","614","55393","48180","71168","40221",40.594187,-75.493352,"92.53","24.13","54","0","16","175","612","0","7","4202280","1213903021213","420228002792","121390302"
"644","Interboro SD","Kindergarten Academy","No","-2","252","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Prospect Park","252","19076","44.841269841269799","Regular School","113","15074","1266","16467","8980",39.886673,-75.303336,"NA","NA","195","0","10","15","16","0","16","4212170","1252351031252","421217000524","125235103"
